window_idx,score,pred,label
0,0.0029919809,0,0
1,0.0035905566,0,0
2,0.004578367,0,0
3,0.0052240556,0,0
4,0.005287753,0,0
5,0.007148625,0,0
6,0.008489985,0,0
7,0.007032872,0,0
8,0.008778638,0,0
9,0.00033166815,0,0
10,0.0003070227,0,0
11,0.00018506969,0,0
12,0.00028830516,0,0
13,0.0001981639,0,0
14,0.00022147491,0,1
15,0.0001789436,0,0
16,0.00017456726,0,1
17,0.0002424665,0,0
18,0.01801604,1,0
19,0.025239117,1,0
20,0.036283463,1,0
21,0.046479803,1,0
22,0.057883173,1,0
23,0.08084444,1,1
24,0.11256449,1,0
25,0.14394057,1,0
26,0.17147732,1,0
27,0.0014741109,0,0
28,0.0010383644,0,0
29,0.0010480093,0,0
30,0.0012348506,0,0
31,0.0016950152,0,0
32,0.0021612113,0,0
33,0.002302005,0,0
34,0.0021928768,0,0
35,0.0026117123,0,1
36,0.00027709964,0,0
37,0.00024315258,0,0
38,0.00022770371,0,0
39,0.0002185392,0,0
40,0.00025378924,0,0
41,0.0002537856,0,0
42,0.00029136278,0,0
43,0.00027632687,0,0
44,0.00023451935,0,0
45,0.00028768374,0,0
46,0.00018660571,0,0
47,0.00020033377,0,0
48,0.00019902851,0,0
49,0.0002930583,0,0
50,0.00021204608,0,0
51,0.0002939307,0,0
52,0.00032849464,0,0
53,0.0004062777,0,0
54,0.0010977376,0,0
55,0.00093687273,0,0
56,0.00120209,0,0
57,0.0020944648,0,0
58,0.0027630383,0,0
59,0.0046078786,0,0
60,0.004656363,0,0
61,0.0049255406,0,0
62,0.014523223,1,0
63,0.016950458,1,0
64,0.019406024,1,0
65,0.021835342,1,0
66,0.02414253,1,0
67,0.02773092,1,0
68,0.030714087,1,0
69,0.031671017,1,0
70,0.03467242,1,0
71,0.00032021233,0,0
72,0.00037716952,0,0
73,0.00034328754,0,0
74,0.00024505702,0,1
75,0.0004104955,0,0
76,0.00032476155,0,0
77,0.0004286082,0,0
78,0.00033103558,0,0
79,0.00038331933,0,0
80,0.00042327525,0,0
81,0.00034049407,0,0
82,0.00046244723,0,0
83,0.0005471381,0,0
84,0.00055188825,0,0
85,0.0011996622,0,0
86,0.0011028894,0,0
87,0.0012034065,0,0
88,0.0041772495,0,0
89,0.005329588,0,0
90,0.006854312,0,0
91,0.008509871,0,0
92,0.011222301,0,0
93,0.01767182,1,1
94,0.02780949,1,0
95,0.03771933,1,0
96,0.048291724,1,0
97,0.0004211308,0,0
98,0.00028647398,0,0
99,0.0009131795,0,0
100,0.0011082196,0,0
101,0.0013002685,0,0
102,0.0007466119,0,0
103,0.0006484543,0,0
104,0.00070484856,0,0
105,0.0011198758,0,0
106,0.0032850371,0,0
107,0.0033980764,0,0
108,0.0035479616,0,0
109,0.0033887892,0,0
110,0.0045376057,0,1
111,0.003472413,0,0
112,0.003054121,0,0
113,0.0031240098,0,0
114,0.003226556,0,0
115,0.0026849653,0,0
116,0.0021706834,0,0
117,0.0027498088,0,0
118,0.0031266115,0,0
119,0.0038678467,0,0
120,0.005755294,0,0
121,0.0056325654,0,1
122,0.0044947714,0,0
123,0.0007460102,0,0
124,0.0009881712,0,0
125,0.000590633,0,0
126,0.0006763825,0,0
127,0.0006230278,0,0
128,0.000639084,0,0
129,0.0005936763,0,1
130,0.0006075685,0,1
131,0.00082375825,0,1
132,0.00046428305,0,0
133,0.0004632434,0,0
134,0.00050876307,0,0
135,0.00035042682,0,0
136,0.00046762507,0,0
137,0.0005659007,0,1
138,0.00033157656,0,0
139,0.00027990722,0,0
140,0.00030388305,0,0
141,0.00028641516,0,0
142,0.00027188007,0,0
143,0.00028270605,0,1
144,0.00021094781,0,0
145,0.00032339906,0,0
146,0.00030004105,0,0
147,0.00038537686,0,1
148,0.00041280035,0,0
149,0.00020796515,0,0
150,0.00023880287,0,0
151,0.00013298777,0,0
152,0.0001466746,0,0
153,0.0001631106,0,0
154,0.00021607877,0,0
155,0.00020786255,0,0
156,0.00022952641,0,0
157,0.0002545825,0,0
158,0.0012108821,0,0
159,0.0012919093,0,0
160,0.0012888507,0,0
161,0.0011238214,0,0
162,0.0016787935,0,0
163,0.0033994587,0,0
164,0.0021761288,0,0
165,0.002153994,0,0
166,0.003808403,0,0
167,0.0013184731,0,0
168,0.001399176,0,0
169,0.0011813514,0,0
170,0.0011722196,0,1
171,0.001946389,0,0
172,0.003304947,0,1
173,0.0046775425,0,1
174,0.0047719246,0,0
175,0.0052221688,0,0
176,0.012342639,1,0
177,0.015800735,1,0
178,0.020021213,1,0
179,0.026585981,1,0
180,0.0297991,1,0
181,0.041955136,1,0
182,0.05432357,1,1
183,0.06334046,1,0
